predicted_species,predicted_species_probs,sepal_length,sepal_width,petal_length,petal_width,species
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.74570669486463725""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.24953737756592873""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.0047559275694340113""
  }]
}",6.0,2.9,4.5,1.5,versicolor
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.66644991892243455""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.3259304785668739""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.0076196025106915746""
  }]
}",6.3,3.3,4.7,1.6,versicolor
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.9167512303234161""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.077420151938471224""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.00582861773811274""
  }]
}",6.2,2.9,4.3,1.3,versicolor
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.97417754374663557""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.013088619348816777""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.01273383690454755""
  }]
}",5.5,2.4,3.7,1.0,versicolor
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.88325762583742984""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.11654773615662707""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.0001946380059431544""
  }]
}",6.5,3.2,5.1,2.0,virginica
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.95271610988606414""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.047272137789924756""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""1.1752324011134888e-05""
  }]
}",6.9,3.1,5.4,2.1,virginica
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.97755868543526347""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.022440062938611532""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""1.2516261249766513e-06""
  }]
}",7.1,3.0,5.9,2.1,virginica
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.9114951994163929""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.078914933928038375""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.0095898666555687146""
  }]
}",5.5,2.6,4.4,1.2,versicolor
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.89338894122495982""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.057499878320976486""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.049111180454063749""
  }]
}",5.6,3.0,4.1,1.3,versicolor
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.99486237641857467""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0051376019275432439""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""2.1653882029597113e-08""
  }]
}",5.0,3.5,1.3,0.3,setosa
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.96996525937345768""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.030034448662335858""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""2.9196420656184837e-07""
  }]
}",5.4,3.4,1.5,0.4,setosa
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.73873147148149232""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.24161623416058609""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.019652294357921627""
  }]
}",5.6,3.0,4.5,1.5,versicolor
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.55221843430641038""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.44757770372846417""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.00020386196512536895""
  }]
}",6.1,2.6,5.6,1.4,virginica
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.61454646514386313""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.38533221092298958""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.00012132393314718504""
  }]
}",6.2,2.2,4.5,1.5,versicolor
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.80577485477841082""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.19422234971523225""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""2.7955063570312939e-06""
  }]
}",4.5,2.3,1.3,0.3,setosa
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.98026220378582662""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.019732727103307264""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""5.0691108661184522e-06""
  }]
}",6.7,3.0,5.2,2.3,virginica
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.81982457139333342""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.16572656455342188""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.014448864053244762""
  }]
}",5.9,3.0,4.2,1.5,versicolor
